Scheme Name,Category,Min Investment (₹),Risk Level,1Y Returns (%),3Y Returns (%),5Y Returns (%),Expense Ratio (%),AUM (Cr),Investment Type,Scheme Type,ISIN,SIP Available
Invesco India-Invesco GCT Fund of Fund-Dir (G),FoFs Overseas,1000,Very High,42.55,8.28,,0.6,335.69,Growth,Active Fund,INF205KA1270,Yes
LIC MF Gold ETF Fund of Fund - Direct (G),FoFs Domestic,5000,High,39.97,19.69,15.31,0.2,80.36,Growth,Active Fund,INF397L01BU4,Yes
UTI-Gold ETF Fund of Fund - Direct (G),FoFs Domestic,5000,High,39.28,,,0.19,171.93,Growth,Active Fund,INF789F1AWB9,Yes
UTI-Silver ETF Fund of Fund - Direct (G),FoFs Domestic,5000,Very High,39.22,,,0.15,43.59,Growth,Active Fund,INF789F1AYL4,Yes
ICICI Pru Silver ETF Fund of Fund - Dir (G),FoFs Domestic,100,Very High,39.15,13.64,,0.12,1008.48,Growth,Active Fund,INF109KC1Y98,Yes
Edelweiss Gold and Silver ETF Fund of Fund-Dir (G),FoFs Domestic,100,Very High,39.13,,,0.05,231.98,Growth,Active Fund,INF754K01OX5,Yes
Nippon India Silver ETF FOF - Direct (G),FoFs Domestic,100,Very High,38.97,13.7,,0.28,556.92,Growth,Active Fund,INF204KC1378,Yes
Kotak Gold Fund - Direct (G),FoFs Domestic,100,High,38.97,18.83,15.15,0.16,2520.47,Growth,Active Fund,INF174K01MP6,Yes
SBI Gold Fund - Direct (G),FoFs Domestic,5000,Very High,38.83,19.2,15.17,0.1,2919.72,Growth,Active Fund,INF200K01RP8,Yes
HDFC Silver ETF Fund of Fund - Direct (G),FoFs Domestic,100,Very High,38.75,,,0.27,210.28,Growth,Active Fund,INF179KC1DU7,Yes
Quantum Gold Savings Fund - Direct (G),FoFs Domestic,500,High,38.73,19.06,14.96,0.03,161.32,Growth,Active Fund,INF082J01150,Yes
AXIS Silver Fund of Fund - Direct (G),FoFs Domestic,5000,Moderately High,38.63,,,0.16,69.73,Growth,Active Fund,INF846K015J4,Yes
HDFC Gold ETF Fund of Fund - Direct (G),FoFs Domestic,100,High,38.6,18.97,15.26,0.18,3059.77,Growth,Active Fund,INF179K01VX0,Yes
AXIS Gold Fund - Direct (G),FoFs Domestic,100,High,38.56,19.12,15.22,0.17,793.5,Growth,Active Fund,INF846K01DS2,Yes
Kotak Silver ETF Fund of Fund - Direct (G),FoFs Domestic,100,Very High,38.43,,,0.14,65.43,Growth,Active Fund,INF174KA1MQ3,Yes
Nippon India Gold Savings Fund - Direct (G),FoFs Domestic,100,High,38.4,18.73,14.93,0.14,2439.26,Growth,Active Fund,INF204K01YC4,Yes
Invesco India Gold ETF Fund of Fund - Direct (G),FoFs Domestic,1000,High,38.28,19.42,15.13,0.1,113.72,Growth,Active Fund,INF205K01NJ9,Yes
Motilal Oswal Gold and Silver ETFs Fund of Funds-Dir (G),FoFs Domestic,500,Very High,38.22,,,0.15,207.31,Growth,Active Fund,INF247L01BM8,Yes
ICICI Pru Regular Gold Savings Fund (FOF)-Dir (G),FoFs Domestic,100,High,38.19,18.82,15.0,0.09,1575.68,Growth,Active Fund,INF109K01U92,Yes
Tata Silver ETF Fund of Fund - Direct (G),FoFs Domestic,5000,Very High,37.77,,,0.14,81.52,Growth,Active Fund,INF277KA1943,Yes
DSP Gold ETF Fund of Fund - Direct (G),FoFs Domestic,100,High,37.7,,,0.65,57.09,Growth,Active Fund,INF740KA1TK6,Yes
Tata Gold ETF Fund of Fund - Direct (G),FoFs Domestic,5000,High,37.22,,,0.18,160.63,Growth,Active Fund,INF277KA1869,Yes
Aditya Birla SL Gold Fund - Direct (G),FoFs Domestic,100,High,36.46,19.53,14.92,0.2,471.82,Growth,Active Fund,INF209K01YU5,Yes
Edelweiss US Technology Equity Fund Of Fund-Dir(G),FoFs Overseas,100,Very High,33.07,21.74,,1.46,2973.4,Growth,Active Fund,INF754K01LB7,Yes
Aditya Birla SL Silver ETF FOF - Direct (G),FoFs Domestic,100,Very High,32.28,14.06,,0.3,188.41,Growth,Active Fund,INF209KB16F2,Yes
SBI Magnum Children's Benefit Fund - IP - Dir (G),Childrens Fund,5000,Very High,26.32,20.23,,0.8,3124.02,Growth,Active Fund,INF200KA1R07,Yes
Motilal Oswal Large Cap Fund - Direct (G),Large Cap Fund,500,Very High,26.29,,,0.76,1684.03,Growth,Active Fund,INF247L01CE3,Yes
AXIS Global Equity Alpha Fund of Fund - Dir (G),FoFs Overseas,100,Very High,26.09,14.02,,0.89,874.46,Growth,Active Fund,INF846K01X06,Yes
AXIS Greater China Equity Fund Of Fund - Dir (G),FoFs Overseas,100,Very High,25.67,-1.58,,0.54,338.8,Growth,Active Fund,INF846K01Y39,Yes
Franklin India Feeder - Franklin U.S. Opp.-Dir (G),FoFs Overseas,5000,Very High,25.14,15.84,16.34,0.62,3988.79,Growth,Active Fund,INF090I01JR0,Yes
WhiteOak Capital Pharma and Healthcare Fund-Dir (G),Sectoral / Thematic,500,Very High,25.08,,,0.68,285.76,Growth,Active Fund,INF03VN01886,Yes
Motilal Oswal Midcap Fund-Dir (G),Mid Cap Fund,500,Very High,24.91,29.67,27.75,0.65,24488.0,Growth,Active Fund,INF247L01445,Yes
Invesco India - Invesco GEI Fund of Fund - Direct (G),FoFs Overseas,1000,Very High,24.85,16.91,15.14,0.86,28.73,Growth,Active Fund,INF205K01B49,Yes
HDFC Pharma and Healthcare Fund - Direct (G),Sectoral / Thematic,100,Very High,24.64,,,0.91,1568.02,Growth,Active Fund,INF179KC1HO1,Yes
AXIS Global Innovation Fund of Fund - Dir (G),FoFs Overseas,100,Very High,23.36,13.16,,0.86,532.84,Growth,Active Fund,INF846K01Z20,Yes
Edelweiss US Value Equity Offshore Fund - Dir (G),FoFs Overseas,100,Very High,22.94,12.53,13.73,1.42,163.95,Growth,Active Fund,INF843K01EC1,Yes
Aditya Birla SL Global Emerging Oppt Fund-Dir (G),FoFs Overseas,100,Very High,22.37,10.21,13.66,0.61,258.68,Growth,Active Fund,INF084M01EB0,Yes
Kotak Global Innovation Fund of Fund-Dir (G),FoFs Overseas,100,Very High,22.27,11.31,,0.5,573.39,Growth,Active Fund,INF174KA1HG4,Yes
PGIM India Emerging Markets Equity Fund-Dir (G),FoFs Overseas,5000,Very High,21.95,3.42,2.7,0.63,95.13,Growth,Active Fund,INF223J01NL0,Yes
Motilal Oswal Flexi Cap Fund-Dir(G),Flexi Cap Fund,500,Very High,21.69,20.16,15.7,0.88,11855.06,Growth,Active Fund,INF247L01502,Yes
Aditya Birla SL Global Excellence Equity Fund of Fund - Dir (G),FoFs Overseas,100,Very High,21.69,15.48,10.35,0.68,211.47,Growth,Active Fund,INF084M01EH7,Yes
Motilal Oswal Small Cap Fund - Direct (G),Small Cap Fund,500,Very High,21.45,,,0.41,4061.82,Growth,Active Fund,INF247L01BY3,Yes
Edelweiss Europe Dynamic Equity Offshore - Dir (G),FoFs Overseas,100,Very High,20.82,11.98,12.3,1.49,78.29,Growth,Active Fund,INF843K01GI3,Yes
HDFC Technology Fund - Direct (G),Sectoral / Thematic,100,Very High,20.81,,,0.93,1439.14,Growth,Active Fund,INF179KC1HI3,Yes
ICICI Pru P.H.D Fund - Direct (G),Sectoral / Thematic,5000,Very High,20.41,23.73,27.29,1.08,4917.81,Growth,Active Fund,INF109KC1GH2,Yes
PGIM India GEO Fund - Direct (G),FoFs Overseas,5000,Very High,19.86,14.82,16.79,0.61,1455.86,Growth,Active Fund,INF223J01NF2,Yes
SBI Healthcare Opportunities Fund - Direct (G),Sectoral / Thematic,5000,Very High,19.7,23.9,26.59,0.89,3521.93,Growth,Active Fund,INF200K01UP2,Yes
HSBC Asia Pacific (Ex Japan) DYF - Direct (G),FoFs Overseas,5000,Very High,19.55,4.24,8.02,1.63,8.25,Growth,Active Fund,INF336L01HF0,Yes
Edelweiss ASEAN Equity Off-Shore Fund - Direct (G),FoFs Overseas,100,Very High,19.33,5.59,7.07,1.63,97.03,Growth,Active Fund,INF843K01AW7,Yes
WhiteOak Capital Multi Asset Allocation-Dir (G),Multi Asset Allocation,500,Very High,19.1,,,0.61,1289.01,Growth,Active Fund,INF03VN01761,Yes
Sundaram Global Brand Fund - Direct (G),FoFs Overseas,100,Very High,18.99,13.04,14.32,1.18,121.2,Growth,Active Fund,INF903J01OB6,Yes
AXIS Innovation Fund - Direct (G),Sectoral / Thematic,100,Very High,18.94,12.0,,1.28,1157.43,Growth,Active Fund,INF846K01X71,Yes
SBI Technology Opportunities Fund - Direct (G),Sectoral / Thematic,5000,Very High,18.86,14.42,26.11,0.84,4572.63,Growth,Active Fund,INF200K01RV6,Yes
Aditya Birla SL International Equity Fund - Direct (G),Sectoral / Thematic,1000,Very High,18.66,8.06,9.78,2.07,192.4,Growth,Active Fund,INF209K01WS3,Yes
Franklin Asian Equity Fund - Direct (G),Sectoral / Thematic,5000,Very High,18.22,0.39,3.4,1.69,243.59,Growth,Active Fund,INF090I01IZ5,Yes
ICICI Pru Innovation Fund - Direct (G),Sectoral / Thematic,5000,Moderate,18.07,,,0.67,6428.07,Growth,Active Fund,INF109KC12T2,Yes
Franklin India Technology Fund - Direct (G),Sectoral / Thematic,5000,Very High,17.98,18.08,24.8,0.97,1959.75,Growth,Active Fund,INF090I01FE6,Yes
PGIM India Global Select Real Estate Securities Fund of Fund - Dir (G),FoFs Overseas,5000,Very High,17.95,3.66,,0.56,51.57,Growth,Active Fund,INF663L01W63,Yes
Kotak Consumption Fund - Direct (G),Sectoral / Thematic,100,Very High,17.74,,,0.55,1231.06,Growth,Active Fund,INF174KA1PP8,Yes
DSP Healthcare Fund - Direct (G),Sectoral / Thematic,100,Very High,17.29,21.94,26.62,0.57,3197.52,Growth,Active Fund,INF740KA1LG1,Yes
DSP Banking & Financial Services Fund - Dir (G),Sectoral / Thematic,100,Very High,17.13,,,0.7,1011.64,Growth,Active Fund,INF740KA1TQ3,Yes
Aditya Birla SL Credit Risk Fund - Dir (G),Credit Risk Fund,100,Moderately High,16.97,10.96,9.85,0.67,923.7,Growth,Active Fund,INF209KA1K88,Yes
Invesco India Focused Fund - Dir (G),Focused Fund,1000,Very High,16.9,20.11,,0.58,3360.52,Growth,Active Fund,INF205KA1213,Yes
